Project Name,Package Name,Type Name,Code Smell
jEdit,com.ultramixer.jarbundler,AppBundleProperties,Insufficient Modularization
jEdit,com.ultramixer.jarbundler,DocumentType,Deficient Encapsulation
jEdit,com.ultramixer.jarbundler,JarBundler,Unutilized Abstraction
jEdit,com.ultramixer.jarbundler,JarBundler,Insufficient Modularization
jEdit,de.masters_of_disaster.ant.tasks.ar,Ar,Deficient Encapsulation
jEdit,de.masters_of_disaster.ant.tasks.ar,Ar,Insufficient Modularization
jEdit,de.masters_of_disaster.ant.tasks.ar,ArLongFileMode,Multifaceted Abstraction
jEdit,de.masters_of_disaster.ant.tasks.ar,ArLongFileMode,Deficient Encapsulation
jEdit,de.masters_of_disaster.ant.tasks.ar,ArConstants,Broken Modularization
jEdit,de.masters_of_disaster.ant.tasks.ar,ArEntry,Deficient Encapsulation
jEdit,de.masters_of_disaster.ant.tasks.ar,ArEntry,Broken Hierarchy
jEdit,de.masters_of_disaster.ant.tasks.ar,ArEntry,Insufficient Modularization
jEdit,de.masters_of_disaster.ant.tasks.ar,ArOutputStream,Deficient Encapsulation
jEdit,de.masters_of_disaster.ant.tasks.calculatesize,CalculateSize,Unutilized Abstraction
jEdit,de.masters_of_disaster.ant.tasks.deb,Deb,Unutilized Abstraction
jEdit,doclet,GenerateTocXML,Deficient Encapsulation
jEdit,installer,BZip2Constants,Unutilized Abstraction
jEdit,installer,BZip2Constants,Broken Modularization
jEdit,installer,CBZip2InputStream,Unutilized Abstraction
jEdit,installer,CBZip2InputStream,Broken Hierarchy
jEdit,installer,CBZip2InputStream,Insufficient Modularization
jEdit,installer,CBZip2OutputStream,Unutilized Abstraction
jEdit,installer,CBZip2OutputStream,Broken Hierarchy
jEdit,installer,CBZip2OutputStream,Insufficient Modularization
jEdit,installer,StackElem,Unnecessary Abstraction
jEdit,installer,StackElem,Unutilized Abstraction
jEdit,installer,ConsoleInstall,Unutilized Abstraction
jEdit,installer,CRC,Unutilized Abstraction
jEdit,installer,Install,Cyclic-Dependent Modularization
jEdit,installer,InvalidHeaderException,Unutilized Abstraction
jEdit,installer,NonInteractiveInstall,Unutilized Abstraction
jEdit,installer,OperatingSystem,Cyclic-Dependent Modularization
jEdit,installer,OperatingSystem,Insufficient Modularization
jEdit,installer,Unix,Unutilized Abstraction
jEdit,installer,ScriptOSTask,Unutilized Abstraction
jEdit,installer,ManPageOSTask,Unutilized Abstraction
jEdit,installer,MacOS,Unutilized Abstraction
jEdit,installer,Windows,Unutilized Abstraction
jEdit,installer,JEditLauncherOSTask,Unutilized Abstraction
jEdit,installer,HalfAnOS,Unutilized Abstraction
jEdit,installer,VMS,Unutilized Abstraction
jEdit,installer,SwingInstall,Cyclic-Dependent Modularization
jEdit,installer,SwingInstall,Insufficient Modularization
jEdit,installer,ActionHandler,Unutilized Abstraction
jEdit,installer,WindowHandler,Unutilized Abstraction
jEdit,installer,WizardLayout,Unutilized Abstraction
jEdit,installer,DirVerifier,Unutilized Abstraction
jEdit,installer,ChooseDirectory,Cyclic-Dependent Modularization
jEdit,installer,ActionHandler,Unutilized Abstraction
jEdit,installer,TarBuffer,Deficient Encapsulation
jEdit,installer,TarEntry,Insufficient Modularization
jEdit,installer,TarHeader,Deficient Encapsulation
jEdit,installer,TarInputStream,Insufficient Modularization
jEdit,installer,EntryAdapter,Unutilized Abstraction
jEdit,installer,TarOutputStream,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,Abbrevs,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,Abbrevs,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,AbstractOptionPane,Wide Hierarchy
jEdit,org.gjt.sp.jedit,ActionListHandler,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,ActionSet,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Autosave,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,BeanShell,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,MyBeanShellFacade,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,BeanShellAction,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,BeanShellFacade,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Buffer,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,Buffer,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Buffer,Insufficient Modularization
jEdit,org.gjt.sp.jedit,Buffer,Hub-like Modularization
jEdit,org.gjt.sp.jedit,BufferHistory,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,BufferHistory,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Entry,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,Entry,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,RecentHandler,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,Debug,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,EBComponent,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,EBMessage,Wide Hierarchy
jEdit,org.gjt.sp.jedit,EBMessage,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,EBPlugin,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,EBPlugin,Broken Hierarchy
jEdit,org.gjt.sp.jedit,EditAction,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Wrapper,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,SendMessage,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,EditPane,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,EditPane,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,EditPane,Insufficient Modularization
jEdit,org.gjt.sp.jedit,EditPane,Hub-like Modularization
jEdit,org.gjt.sp.jedit,CaretInfo,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,CaretInfo,Broken Modularization
jEdit,org.gjt.sp.jedit,StatusHandler,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,MarkerHighlight,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,EditPlugin,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Broken,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,Deferred,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,EditServer,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,GUIUtilities,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,GUIUtilities,Insufficient Modularization
jEdit,org.gjt.sp.jedit,GUIUtilities,Hub-like Modularization
jEdit,org.gjt.sp.jedit,UnixWorkaround,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,ComponentHandler,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,WindowHandler,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,SizeSaver,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,JARClassLoader,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,SingleElementEnumeration,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,jEdit,Missing Hierarchy
jEdit,org.gjt.sp.jedit,jEdit,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,jEdit,Insufficient Modularization
jEdit,org.gjt.sp.jedit,jEdit,Hub-like Modularization
jEdit,org.gjt.sp.jedit,FirewallAuthenticator,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,MyFocusManager,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,MyFocusManager,Missing Hierarchy
jEdit,org.gjt.sp.jedit,JEditPropertyManager,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,DockingLayoutSetter,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,JEditActionSet,Broken Hierarchy
jEdit,org.gjt.sp.jedit,JEditBeanShellAction,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,MyBeanShellFacade,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,JEditKillRing,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,JEditKillRing,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,KillRingHandler,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,JEditMode,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,JEditRegisterSaver,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,JEditRegistersListener,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,Macros,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Macros,Insufficient Modularization
jEdit,org.gjt.sp.jedit,Macro,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Recorder,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Handler,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,BeanShellHandler,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,Marker,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,MiscUtilities,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,MiscUtilities,Insufficient Modularization
jEdit,org.gjt.sp.jedit,VarCompressor,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Mode,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Mode,Insufficient Modularization
jEdit,org.gjt.sp.jedit,ModeCatalogHandler,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,OptionGroup,Missing Hierarchy
jEdit,org.gjt.sp.jedit,PerspectiveManager,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,PerspectiveHandler,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,PluginJAR,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,PluginJAR,Unexploited Encapsulation
jEdit,org.gjt.sp.jedit,PluginJAR,Missing Hierarchy
jEdit,org.gjt.sp.jedit,PluginJAR,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,PluginJAR,Insufficient Modularization
jEdit,org.gjt.sp.jedit,PluginJAR,Hub-like Modularization
jEdit,org.gjt.sp.jedit,PluginDepends,Unnecessary Abstraction
jEdit,org.gjt.sp.jedit,PluginDepends,Broken Modularization
jEdit,org.gjt.sp.jedit,PluginCacheEntry,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,PluginCacheEntry,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Registers,Insufficient Modularization
jEdit,org.gjt.sp.jedit,ClipboardRegister,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,DefaultRegister,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,ServiceListHandler,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,ServiceManager,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,ServiceManager,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Descriptor,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,ServiceFoldHandlerProvider,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,ServiceFoldHandlerProvider,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,SettingsReloader,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,SettingsXML,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,Saver,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,SplitConfigParser,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,BufferSet,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,TextUtilities,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,TextUtilities,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,TextUtilities,Insufficient Modularization
jEdit,org.gjt.sp.jedit,View,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,View,Cyclic-Dependent Modularization
jEdit,org.gjt.sp.jedit,View,Insufficient Modularization
jEdit,org.gjt.sp.jedit,View,Hub-like Modularization
jEdit,org.gjt.sp.jedit,CaretHandler,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,FocusHandler,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,ScrollHandler,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,WindowHandler,Unutilized Abstraction
jEdit,org.gjt.sp.jedit,ViewConfig,Deficient Encapsulation
jEdit,org.gjt.sp.jedit,ViewConfig,Cyclic-Dependent Modularization
