Project Name,Package Name,Type Name,Method Name,Code Smell
jEdit,com.ultramixer.jarbundler,AppBundleProperties,setCFBundleName,Long Statement
jEdit,com.ultramixer.jarbundler,AppBundleProperties,setCFBundleName,Magic Number
jEdit,com.ultramixer.jarbundler,AppBundleProperties,getCFBundleInfoDictionaryVersion,Long Identifier
jEdit,com.ultramixer.jarbundler,AppBundleProperties,setCFBundleAllowMixedLocalizations,Long Identifier
jEdit,com.ultramixer.jarbundler,AppBundleProperties,getCFBundleAllowMixedLocalizations,Long Identifier
jEdit,com.ultramixer.jarbundler,AppBundleProperties,setNSSupportsAutomaticGraphicsSwitching,Long Identifier
jEdit,com.ultramixer.jarbundler,AppBundleProperties,getNSSupportsAutomaticGraphicsSwitching,Long Identifier
jEdit,com.ultramixer.jarbundler,AppBundleProperties,setJVMVersion,Magic Number
jEdit,com.ultramixer.jarbundler,JarBundler,setUseJavaXKey,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,setUseJavaXKey,Magic Number
jEdit,com.ultramixer.jarbundler,JarBundler,setJvmversion,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,setJvmversion,Magic Number
jEdit,com.ultramixer.jarbundler,JarBundler,addConfiguredLSEnvironment,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,addConfiguredJavaProperty,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,addConfiguredDocumentType,Complex Conditional
jEdit,com.ultramixer.jarbundler,JarBundler,addConfiguredDocumentType,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,addConfiguredDocumentType,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,addConfiguredService,Complex Method
jEdit,com.ultramixer.jarbundler,JarBundler,addConfiguredService,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,addConfiguredService,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,addConfiguredHelpBook,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,addConfiguredHelpBook,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,addConfiguredHelpBook,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,execute,Complex Conditional
jEdit,com.ultramixer.jarbundler,JarBundler,execute,Complex Conditional
jEdit,com.ultramixer.jarbundler,JarBundler,execute,Complex Conditional
jEdit,com.ultramixer.jarbundler,JarBundler,execute,Complex Method
jEdit,com.ultramixer.jarbundler,JarBundler,execute,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,execute,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,execute,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,execute,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,execute,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,execute,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,execute,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,execute,Long Statement
jEdit,com.ultramixer.jarbundler,JarBundler,execute,Magic Number
jEdit,com.ultramixer.jarbundler,JarBundler,useOldPropertyNames,Magic Number
jEdit,com.ultramixer.jarbundler,PropertyListWriter,createDOM,Long Statement
jEdit,com.ultramixer.jarbundler,PropertyListWriter,buildDOM,Complex Method
jEdit,com.ultramixer.jarbundler,PropertyListWriter,buildDOM,Long Method
jEdit,com.ultramixer.jarbundler,PropertyListWriter,buildDOM,Long Statement
jEdit,com.ultramixer.jarbundler,PropertyListWriter,buildDOM,Long Statement
jEdit,com.ultramixer.jarbundler,PropertyListWriter,buildDOM,Long Statement
jEdit,com.ultramixer.jarbundler,PropertyListWriter,buildDOM,Long Statement
jEdit,com.ultramixer.jarbundler,PropertyListWriter,buildDOM,Magic Number
jEdit,com.ultramixer.jarbundler,PropertyListWriter,writeDocumentTypes,Complex Method
jEdit,com.ultramixer.jarbundler,PropertyListWriter,writeServices,Complex Method
jEdit,com.ultramixer.jarbundler,PropertyListWriter,writeJavaProperties,Magic Number
jEdit,de.masters_of_disaster.ant.tasks.ar,Ar,execute,Complex Method
jEdit,de.masters_of_disaster.ant.tasks.ar,Ar,execute,Long Statement
jEdit,de.masters_of_disaster.ant.tasks.ar,Ar,arFile,Complex Method
jEdit,de.masters_of_disaster.ant.tasks.ar,Ar,arFile,Long Statement
jEdit,de.masters_of_disaster.ant.tasks.ar,Ar,arFile,Long Statement
jEdit,de.masters_of_disaster.ant.tasks.ar,Ar,arFile,Magic Number
jEdit,de.masters_of_disaster.ant.tasks.ar,Ar,arFile,Magic Number
jEdit,de.masters_of_disaster.ant.tasks.ar,Ar,setMode,Magic Number
jEdit,de.masters_of_disaster.ant.tasks.ar,ArFileSet,setMode,Magic Number
jEdit,de.masters_of_disaster.ant.tasks.ar,ArOutputStream,putNextEntry,Long Statement
jEdit,de.masters_of_disaster.ant.tasks.ar,ArOutputStream,closeEntry,Long Statement
jEdit,de.masters_of_disaster.ant.tasks.ar,ArOutputStream,write,Long Statement
jEdit,de.masters_of_disaster.ant.tasks.ar,ArUtils,parseOctal,Magic Number
jEdit,de.masters_of_disaster.ant.tasks.calculatesize,CalculateSize,execute,Magic Number
jEdit,de.masters_of_disaster.ant.tasks.calculatesize,CalculateSize,execute,Magic Number
jEdit,de.masters_of_disaster.ant.tasks.calculatesize,CalculateSize,execute,Magic Number
jEdit,de.masters_of_disaster.ant.tasks.deb,Deb,execute,Complex Method
jEdit,de.masters_of_disaster.ant.tasks.deb,Deb,execute,Long Method
jEdit,de.masters_of_disaster.ant.tasks.deb,Deb,execute,Magic Number
jEdit,de.masters_of_disaster.ant.tasks.deb,Deb,execute,Magic Number
jEdit,installer,CBZip2InputStream,read,Complex Method
jEdit,installer,CBZip2InputStream,read,Missing default
jEdit,installer,CBZip2InputStream,setDecompressStructureSizes,Complex Conditional
jEdit,installer,CBZip2InputStream,setDecompressStructureSizes,Magic Number
jEdit,installer,CBZip2InputStream,setDecompressStructureSizes,Magic Number
jEdit,installer,CBZip2InputStream,setupBlock,Magic Number
jEdit,installer,CBZip2InputStream,setupBlock,Magic Number
jEdit,installer,CBZip2InputStream,setupBlock,Magic Number
jEdit,installer,CBZip2InputStream,setupBlock,Magic Number
jEdit,installer,CBZip2InputStream,setupNoRandPartB,Magic Number
jEdit,installer,CBZip2InputStream,setupRandPartA,Magic Number
jEdit,installer,CBZip2InputStream,setupRandPartB,Magic Number
jEdit,installer,CBZip2InputStream,setupRandPartB,Magic Number
jEdit,installer,CBZip2InputStream,getAndMoveToFrontDecode,Complex Method
jEdit,installer,CBZip2InputStream,getAndMoveToFrontDecode,Long Method
jEdit,installer,CBZip2InputStream,getAndMoveToFrontDecode,Magic Number
jEdit,installer,CBZip2InputStream,getAndMoveToFrontDecode,Magic Number
jEdit,installer,CBZip2InputStream,getAndMoveToFrontDecode,Magic Number
jEdit,installer,CBZip2InputStream,getAndMoveToFrontDecode,Magic Number
jEdit,installer,CBZip2InputStream,getAndMoveToFrontDecode,Magic Number
jEdit,installer,CBZip2InputStream,getAndMoveToFrontDecode,Magic Number
jEdit,installer,CBZip2InputStream,getAndMoveToFrontDecode,Magic Number
jEdit,installer,CBZip2InputStream,getAndMoveToFrontDecode,Magic Number
